,2021-04-20
1342,1378413417908862987
1343,2397325381
1344,1378409267892527105
1345,204509039
1346,1059304624551804928
1347,3184937514
1348,901436718
1349,1344613151942316032
1350,3607909933
1351,1200281158468210688
1352,453976185
1353,884265401089114113
1354,1373869712
1355,75837091
1356,952137710734663680
1357,2873055100
1358,206364107
1359,438132335
1360,1250415518944804864
1361,42451091
1362,1285578488422887425
1363,860766882273558531
1364,1373870253629796353
1365,330546867
1366,1362201660089634819
1367,507007056
1368,1925601462
1369,2899623830
1370,184125758
1371,1182927079727337474
1372,1341054823
1373,1377097588273340417
1374,816599062111612928
1375,1378290731404701697
1376,390211709
1377,1872890144
1378,478713716
1379,1088691280861937665
1380,849038030
1381,1319872022055325696
1382,1338239048427724801
1383,983680080605048832
1384,1264820639678042112
1385,610053719
1386,1378241434592149506
1387,1265652537035800583
1388,620592846
1389,1245673887079321600
1390,1300199093243990022
1391,778927959243563008
1392,911265815269400576
1393,1353074904678109196
1394,247284473
1395,270159501
1396,1336712403996831747
1397,1364930950446993411
1398,2366541368
1399,302808878
1400,123802985
1401,1306493835405651968
1402,270320187
1403,1378014561064869890
1404,959049324176068615
1405,712248315920949249
1406,109030219
1407,802743965023731713
1408,1370801101684019201
1409,1355949719357452291
1410,2867423842
1411,284884835
1412,815175416
1413,813347273497190400
1414,942305645016924160
1415,3292568697
1416,1333259635986493441
1417,1592219004
1418,1364709574062694403
1419,981617146542227456
1420,1216483963730046977
1421,1378004147228774404
1422,110787537
1423,1254543196429918208
1424,943779820357505024
1425,1322774524094369795
1426,149683399
1427,251594883
1428,46118542
1429,1429996963
1430,994270312215834624
1431,608642046
1432,1376767634104934403
1433,1368298188722106376
1434,1377980652759392261
1435,826012015340748800
1436,14251836
1437,27072657
1438,1349704731514564609
1439,1600616604
1440,942187670599618560
1441,752020620
1442,1365302170531360770
1443,804122906
1444,1374835343686467587
1445,1377687988629610496
1446,937998461512962048
1447,562352046
1448,1130841508352012293
1449,1013316356647866368
1450,885362241364799489
1451,946568773313617920
1452,1008296515792769024
1453,1339614807436115969
1454,769815570183180288
1455,1372849568342142977
1456,1299169302633799680
1457,254885493
1458,1340822129021865984
1459,150601282
1460,609513560
1461,1376678666726428676
1462,2563706035
1463,1348012626870104065
1464,1364086818539409409
1465,425803441
1466,1342923605664014336
1467,1376573910406287361
1468,1419777732
1469,1369946484368580614
1470,108424287
1471,2782127186
1472,4017871043
1473,754260660536635392
1474,1377321120660000770
1475,516573155
1476,1366175095794921473
1477,1286934377834913793
1478,88408209
1479,1022371281285652480
1480,49674967
1481,873201368382808064
1482,1125012600960327680
1483,873430113022615556
1484,1079186648913580035
1485,1375959640492683275
1486,1364077154858717184
1487,21693222
1488,27709854
1489,312227808
1490,1359473271046086659
1491,1367425647174328322
1492,1376978960207126529
1493,1096388025565700097
1494,1214090353826942976
1495,1302336777278103552
1496,1373814814934495232
1497,1377650035396124673
1498,94485040
1499,2574391686
1500,1363296541369393155
1501,1331100487802732545
1502,1258679415044702208
1503,1057473527563964416
1504,1003568057208463360
1505,1363564284194783234
1506,1377599655735930883
1507,1276207398282240001
1508,3011809983
1509,1377573181888794627
1510,2162345053
1511,1125057563811307522
1512,1161506833
1513,1287758358888341506
1514,1356587646022115329
1515,412101616
1516,1201598953302704128
1517,1377540471484989441
1518,264110387
1519,2311987360
1520,1347923475227418630
1521,1112807590751219713
1522,1278716337402060801
1523,4228620080
1524,906677875
1525,950031405400186880
1526,1082577601946894336
1527,1073461483
1528,72793086
1529,1272582045970112512
1530,1267335176608088067
1531,551573880
1532,1376591354315202562
1533,525941303
1534,824673824042090499
1535,1086459873166950400
1536,1374477541747036160
1537,1151694708126736390
1538,1336275334141009920
1539,586545232
1540,1242012810248323072
1541,1297811762344075264
1542,372233904
1543,1348863350244052994
1544,1360350245507321857
1545,2297694837
1546,265710051
1547,1135407058533011456
1548,1363827478343651331
1549,1381239805
1550,206154961
1551,951914875764092928
1552,1363675914228301826
1553,1026020741156728833
1554,1098783828699693057
1555,1325831455772086276
1556,1046311620295700480
1557,140484371
1558,607422905
1559,148235265
1560,1236227912170385409
1561,185997358
1562,33541013
1563,1241077165
1564,1159456040808792064
1565,941842427245195264
1566,876171975730765824
1567,452033772
1568,1312023685910454279
1569,1376650242465140751
1570,924826423218638849
1571,922848285647409153
1572,179687176
1573,580660112
1574,1377312011739090949
1575,1366207994086612994
1576,1363683583207038978
1577,1196975785573306368
1578,1358300650438762502
1579,95581319
1580,761890496
1581,1354580345165905922
1582,1321163221324177408
1583,1339690878
1584,2893090185
1585,1283315418887749633
