,amount,cloud,ticker
2022-12-15,5,0.0,DFI
2022-12-16,5,0.0,DFI
2022-12-17,5,0.0,DFI
2022-12-18,5,0.0,DFI
2022-12-19,5,0.0,DFI
2022-12-20,5,0.0,DFI
2022-12-21,5,0.0,DFI
2022-12-22,5,0.0,DFI
2022-12-23,5,0.0,DFI
2022-12-24,5,0.0,DFI
2022-12-25,5,0.0,DFI
2022-12-26,5,0.0,DFI
2022-12-27,5,0.0,DFI
2022-12-28,5,0.0,DFI
2022-12-29,5,0.0,DFI
2022-12-30,5,0.0,DFI
2022-12-31,5,0.0,DFI
2023-01-01,5,0.0,DFI
2023-01-02,5,0.0,DFI
2023-01-03,5,0.0,DFI
2023-01-04,5,0.0,DFI
2023-01-05,5,0.0,DFI
2023-01-06,5,0.0,DFI
2023-01-07,5,0.0,DFI
2023-01-08,5,0.0,DFI
2023-01-09,5,0.0,DFI
2023-01-10,5,0.0,DFI
2023-01-11,5,0.0,DFI
2023-01-12,5,0.0,DFI
2023-01-13,5,0.0,DFI
2023-01-14,5,0.0,DFI
2023-01-15,5,0.0,DFI
2023-01-16,5,0.0,DFI
2023-01-17,6,0.0,DFI
2023-01-18,6,0.0,DFI
2023-01-19,6,0.0,DFI
2023-01-20,6,0.0,DFI
2023-01-21,6,0.0,DFI
2023-01-22,6,0.0,DFI
2023-01-23,6,0.0,DFI
2023-01-24,6,0.0,DFI
2023-01-25,6,0.0,DFI
2023-01-26,6,0.0,DFI
2023-01-27,6,0.0,DFI
2023-02-20,6,0.0,DFI
2023-02-21,6,0.0,DFI
2023-02-22,6,0.0,DFI
2023-02-23,6,0.0,DFI
2023-02-24,6,0.0,DFI
2023-02-25,6,0.0,DFI
2023-02-26,6,0.0,DFI
