,dfxBuyRoutes,dfxSellRoutes,dfxBuyVolume,dfxSellVolume,dfxBuyVolumeCHF,dfxSellVolumeCHF
2021-09-01 15:02,115.0,0.0,4483.645025188375,0.0,,
2021-09-01 16:01,119.0,0.0,4483.645025188375,0.0,,
2021-09-01 17:01,120.0,0.0,4483.645025188375,0.0,,
2021-09-01 18:01,120.0,0.0,4483.645025188375,0.0,,
2021-09-01 19:01,124.0,0.0,4483.645025188375,0.0,,
2021-09-01 20:02,125.0,0.0,4583.762771368814,0.0,,
2021-09-01 21:02,125.0,0.0,4583.762771368814,0.0,,
2021-09-01 22:01,125.0,0.0,4583.762771368814,0.0,,
2021-09-01 23:01,125.0,0.0,4583.762771368814,0.0,,
2021-09-02 00:03,125.0,0.0,4583.762771368814,0.0,,
2021-09-02 01:02,126.0,0.0,4583.762771368814,0.0,,
2021-09-02 02:02,126.0,0.0,4583.762771368814,0.0,,
2021-09-02 03:01,126.0,0.0,4583.762771368814,0.0,,
2021-09-02 04:02,126.0,0.0,4583.762771368814,0.0,,
2021-09-02 05:02,126.0,0.0,4583.762771368814,0.0,,
2021-09-02 06:02,126.0,0.0,4583.762771368814,0.0,,
2021-09-02 07:02,126.0,0.0,4583.762771368814,0.0,,
2021-09-02 08:02,129.0,0.0,4583.762771368814,0.0,,
2021-09-02 09:01,130.0,0.0,4583.762771368814,0.0,,
2021-09-02 10:02,130.0,0.0,4583.762771368814,0.0,,
2021-09-02 11:01,131.0,0.0,4583.762771368814,0.0,,
2021-09-02 12:02,132.0,0.0,4583.762771368814,0.0,,
2021-09-02 13:01,133.0,0.0,4583.762771368814,0.0,,
2021-09-02 14:01,134.0,0.0,4594.436928029231,0.0,,
2021-09-02 15:02,136.0,0.0,5449.649942133196,0.0,,
2021-09-02 16:01,137.0,0.0,5449.649942133196,0.0,,
2021-09-02 17:01,138.0,0.0,5449.649942133196,0.0,,
2021-09-02 18:01,138.0,0.0,5449.649942133196,0.0,,
2021-09-02 19:01,140.0,0.0,5449.649942133196,0.0,,
2021-09-02 20:02,143.0,0.0,5449.649942133196,0.0,,
2021-09-02 21:01,148.0,0.0,5449.649942133196,0.0,,
2021-09-02 22:01,151.0,0.0,5449.649942133196,0.0,,
2021-09-02 23:01,151.0,0.0,5449.649942133196,0.0,,
2021-09-03 00:07,153.0,0.0,5449.649942133196,0.0,,
2021-09-03 01:02,153.0,0.0,5449.649942133196,0.0,,
2021-09-03 02:02,153.0,0.0,5449.649942133196,0.0,,
2021-09-03 03:02,154.0,0.0,5493.181835198619,0.0,,
2021-09-03 04:02,156.0,0.0,5493.181835198619,0.0,,
2021-09-03 05:02,156.0,0.0,5493.181835198619,0.0,,
2021-09-03 06:02,161.0,0.0,5493.181835198619,0.0,,
2021-09-03 07:02,167.0,0.0,5493.181835198619,0.0,,
2021-09-03 08:02,173.0,0.0,5493.181835198619,0.0,,
2021-09-03 09:01,180.0,0.0,5493.181835198619,0.0,,
2021-09-03 10:01,183.0,0.0,5493.181835198619,0.0,,
2021-09-03 11:02,187.0,0.0,5493.181835198619,0.0,,
2021-09-03 12:02,188.0,0.0,5493.181835198619,0.0,,
2021-09-03 13:01,191.0,0.0,20720.89464437676,0.0,,
2021-09-03 14:01,195.0,0.0,20720.89464437676,0.0,,
2021-09-03 15:02,195.0,0.0,21999.776749007106,0.0,,
2021-09-03 16:01,201.0,0.0,21999.776749007106,0.0,,
2021-09-03 17:01,206.0,0.0,21999.776749007106,0.0,,
2021-09-03 18:01,209.0,0.0,21999.776749007106,0.0,,
2021-09-03 19:01,216.0,0.0,21999.776749007106,0.0,,
2021-09-03 20:02,217.0,0.0,21999.776749007106,0.0,,
2021-09-03 21:01,219.0,0.0,21999.776749007106,0.0,,
2021-09-03 22:01,219.0,0.0,21999.776749007106,0.0,,
2021-09-03 23:01,222.0,0.0,21999.776749007106,0.0,,
2021-09-04 00:04,222.0,0.0,21999.776749007106,0.0,,
2021-09-04 01:02,222.0,0.0,21999.776749007106,0.0,,
2021-09-04 02:02,222.0,0.0,21999.776749007106,0.0,,
2021-09-04 03:01,222.0,0.0,21999.776749007106,0.0,,
2021-09-04 04:02,222.0,0.0,21999.776749007106,0.0,,
2021-09-04 05:02,222.0,0.0,21999.776749007106,0.0,,
2021-09-04 06:02,222.0,0.0,21999.776749007106,0.0,,
2021-09-04 07:01,222.0,0.0,21999.776749007106,0.0,,
2021-09-04 08:02,225.0,0.0,21999.776749007106,0.0,,
2021-09-04 09:01,226.0,0.0,21999.776749007106,0.0,,
2021-09-04 10:01,228.0,0.0,21999.776749007106,0.0,,
2021-09-04 11:02,232.0,0.0,21999.776749007106,0.0,,
2021-09-04 12:02,232.0,0.0,21999.776749007106,0.0,,
2021-09-04 13:01,233.0,0.0,21999.776749007106,0.0,,
2021-09-04 14:01,235.0,0.0,21999.776749007106,0.0,,
