,block,txId,time,type,amount
0023604000ce4cd158fe35a5f10ad4b9e328d1915d397be1cb94b354e75a3eb478a553646800000001,2318400,b431253e0be337fda34a99f98a4cdfc6c4f01ebee88e7345176d84f706d9ab7e,2022-10-13 11:47:09,vin,1969.80561959
002360400051ce43449ddd9666a4f7a8af7ff9b1695785da02e501ccea2e4572de1237ddb900000001,2318400,b431253e0be337fda34a99f98a4cdfc6c4f01ebee88e7345176d84f706d9ab7e,2022-10-13 11:47:09,vin,2382.93661088
0023603700fc418d4b49eb81fadd6edf84d720ad2361b0c93af65225e56865f7cffcc0e4f600000000,2318391,93002cf1affb984b68f8921bd998adb35fdf143370a7e82a8bd369fc633157ad,2022-10-13 11:44:36,vin,67.09375959
002360370193002cf1affb984b68f8921bd998adb35fdf143370a7e82a8bd369fc633157ad00000001,2318391,93002cf1affb984b68f8921bd998adb35fdf143370a7e82a8bd369fc633157ad,2022-10-13 11:44:36,vout,47.09375959
00236037019856b912c74e89b6ce4535c6592539101e649611bb23ac234afee56d747dda5a00000000,2318391,9856b912c74e89b6ce4535c6592539101e649611bb23ac234afee56d747dda5a,2022-10-13 11:44:36,vout,599.99000000
0023602a01558a00c443dc34c8ebd360fe5a49234e2686d93bfe86dc22796baf4ea0927dc200000000,2318378,558a00c443dc34c8ebd360fe5a49234e2686d93bfe86dc22796baf4ea0927dc2,2022-10-13 11:40:53,vout,499.99000000
00236016014bff58bb10259ffe77985e02b03d4e5dfd3c9c143174d78273b05d399a1ffc8b00000000,2318358,4bff58bb10259ffe77985e02b03d4e5dfd3c9c143174d78273b05d399a1ffc8b,2022-10-13 11:27:49,vout,499.99000000
002360100126257316824adf0107a47702fa6448d3b82b6574eae687c5c4397d397a373a1a00000001,2318352,26257316824adf0107a47702fa6448d3b82b6574eae687c5c4397d397a373a1a,2022-10-13 11:24:14,vout,2218.98999999
0023601000b7796a6ec8de6a1a16babd44e850fd9b9cf52e7773076e445b71ce305a3b173800000000,2318352,26257316824adf0107a47702fa6448d3b82b6574eae687c5c4397d397a373a1a,2022-10-13 11:24:14,vin,2319.99000000
00236008016227f3c211f110d2546c71db0f747eedd651ec3528293c1a4a10f93e4cf2467400000000,2318344,6227f3c211f110d2546c71db0f747eedd651ec3528293c1a4a10f93e4cf24674,2022-10-13 11:21:05,vout,767.73532176
00236000013765f2adfd60a083a87825b60671b562576a21cacc0b76110c74b193a737ea6300000000,2318336,3765f2adfd60a083a87825b60671b562576a21cacc0b76110c74b193a737ea63,2022-10-13 11:18:14,vout,1499.89000000
00235fd2013df1575c9a4f2f49168b089d7ad2bfdb8f7e3c2d14befeec6fe74212cac77acb00000000,2318290,3df1575c9a4f2f49168b089d7ad2bfdb8f7e3c2d14befeec6fe74212cac77acb,2022-10-13 10:58:54,vout,1999.99000000
00235f4301f530784e118c5f50b3e0e522818112ebe007a9badec574c9f89e94bd3b71a46400000000,2318147,f530784e118c5f50b3e0e522818112ebe007a9badec574c9f89e94bd3b71a464,2022-10-13 09:48:59,vout,53.99000000
00235e9401304251d6c9cda71df0c23551a43b0719a2d7f3f85b3c539f1cd142ed2f559fe200000000,2317972,304251d6c9cda71df0c23551a43b0719a2d7f3f85b3c539f1cd142ed2f559fe2,2022-10-13 08:32:12,vout,761.82845628
00235e2201fde457bf5bcc40ee0939358d0c0a3ca093524750df365af9864c7a2bdcdc8ef900000000,2317858,fde457bf5bcc40ee0939358d0c0a3ca093524750df365af9864c7a2bdcdc8ef9,2022-10-13 07:38:16,vout,6.99000000
00235cf801a235d9b94bac7396875c7ca08340e5f246359aefecf3d1e053d270c4629ff82000000001,2317560,a235d9b94bac7396875c7ca08340e5f246359aefecf3d1e053d270c4629ff820,2022-10-13 04:48:40,vout,30.12454812
00235cf800e36e55c2b419608f0bf23033d2f5dbae9452bc3e4afa5f2a74c49f428fde260900000001,2317560,a235d9b94bac7396875c7ca08340e5f246359aefecf3d1e053d270c4629ff820,2022-10-13 04:48:40,vin,82.57454812
00235ced00c33883039217c9581235f70e34c2bb58be2bbf4a5a9b3407d9cadadbf4ba46f400000000,2317549,84a518b5e1dd46904387d0b9b91f728fa256173b69d4075d9808543066a7fc17,2022-10-13 04:44:01,vin,229.74798619
00235ced0184a518b5e1dd46904387d0b9b91f728fa256173b69d4075d9808543066a7fc1700000001,2317549,84a518b5e1dd46904387d0b9b91f728fa256173b69d4075d9808543066a7fc17,2022-10-13 04:44:01,vout,151.73720315
00235ced00c7f2902f2c8d6149dd8b55d530045873e8bda0556a1734d355e8b2a27955691300000001,2317549,84a518b5e1dd46904387d0b9b91f728fa256173b69d4075d9808543066a7fc17,2022-10-13 04:44:01,vin,17.78921696
